# Computed with Qnkpq-deg.p6 (without --formula)
4 2 1 1		8
4 2 2 1		22
4 3 2 1		7
4 3 2 2		6
4 3 3 2		7
4 3 3 3		0
5 2 1 1		12
5 2 2 1		51
5 3 1 0		38
5 3 2 0		39
5 3 2 1		38
5 3 2 2		12
5 3 3 1		39
5 3 3 2		38
6 3 1 1		54
6 3 2 1		137
6 3 2 2		18
6 3 3 0		159
6 3 3 1		158
6 3 3 2		93
6 4 1 0		58
6 4 1 1		40
6 4 2 1		58
6 4 2 2		40
6 4 3 1		59
6 4 3 2		58
6 4 3 3		16
7 3 1 1		96
7 3 2 1		348
7 3 2 2		24
7 3 3 1		530
7 3 3 2		172
7 3 3 3		0
7 4 2 2		96
7 4 3 3		24
7 4 3 2		251
7 5 4 3		82
7 5 3 3		60
7 5 3 2		82
7 5 3 1		83
7 5 2 2		60
7 6 3 3		12
7 6 4 4		12
7 6 5 5		12
8 2 1 0		450
8 2 1 1		24
8 3 2 1		715
8 3 2 2		30
8 3 3 2		275
8 4 2 2		176
8 4 3 1		1082
8 4 3 2		692
8 4 3 3		32
8 5 0 0		230
8 5 1 0		413
8 5 1 1		230
8 5 2 0		446
8 5 2 1		413
8 5 2 2		230
8 5 3 2		413
8 5 3 3		150
8 5 4 3		413
8 6 0 0		84
8 6 1 1		84
8 6 2 2		84
8 6 3 3		84
8 6 4 3		110
8 6 4 4		84
8 6 5 4		110
8 6 5 5		24
8 7 3 3		14
8 7 4 4		14
8 7 5 5		14
8 7 6 6		14
